epoch,acc,loss
0,0.39988274299495036,4.0950749207922135
1,0.43267539546595485,3.7756483520826882
2,0.4516318145151457,3.6381877189458804
3,0.468008598458704,3.5165807203736787
4,0.4882548362371953,3.390590348140276
5,0.5059996094639841,3.253396568713953
6,0.525425053991702,3.104725667128974
7,0.5493062348693801,2.9466894803765653
8,0.5712722319864262,2.784897895723156
9,0.595505181399318,2.626034183149951
10,0.616884898645514,2.483492428981072
11,0.6324799743065825,2.359350175906001
12,0.6483877316242507,2.2533654829056577
13,0.6620676211484223,2.1662523222547363
14,0.6682040301039276,2.0935086035183312
15,0.6777408679691357,2.0395682601460914
16,0.6889192926270994,1.9903054809067104
17,0.688098497483468,1.9569561573264886
18,0.6934922854719112,1.9296286433195495
19,0.6947821027742878,1.9052642718036124
0,0.921467814382464,0.20954942233163595
1,0.9266025636558027,0.1919900403357056
2,0.92898451667719,0.18500307538089192
3,0.9308719251910383,0.17941659439107535
4,0.9327151730683599,0.17404706310101373
0,0.9349458573488532,0.16810252365354134
0,0.9214124323363277,0.20934660785599704
1,0.9265630404756894,0.19208861082254075
2,0.9289237656674271,0.18522967655337969
3,0.93075798835647,0.1796659831555753
4,0.9326656466718504,0.17429074025450716
5,0.9346162443214246,0.16910779395805645
6,0.9365075560269835,0.1639137474812683
7,0.9383107926054955,0.15911629562582405
8,0.9399883806744157,0.154738008435595
9,0.9415986305778963,0.150615753730143
